JOB DESCRIPTION	JOB CATEGORY
"Candidate should have complete knowledge of Corel Draw, Adobe illustrator and Adobe Photoshop must. 1, and Designing agency experience preferred. Brimming with creative ideas Candidate should have superior designing and visualizing expertise and to convert briefs into visually engaging layouts. Should have worked on Creative 1 campaigns, print ads, brochures, mailers, digital outdoor media. Perfect knowledge of artwork, printing and digital printing will be an added advantage. Responsibilities and Duties Creating 1 Campaigns Visualising & Layouting for Print, Digital & Outdoor Media Brand Logo Development & Brand Extensions Brand Packaging & Brochures and Event Layouts Required Experience, Skills and Qualifications Corel Draw, Adobe Illustrator and Photoshop Perfect Knowledge 1 / Branding Agency Experience preferred 4 colour separation Artworks Image editing Job Type: Full-time Salary: ₹20,000.00 to ₹35,000.00 /month Experience: work: 2 years (Preferred) Photoshop, corel draw: 2 years (Preferred) Education: Higher Secondary(12th Pass) (Preferred)"	1
"Ideation & Visualization of theme, concept for films, events, exhibition. Communicating with management on new concepts, opportunities w.r.t. creative content diversity. Overseeing story board, scripting for films and events. Creating content i.e. writing script. Meeting client to get the better idea of client's needs. Involved in strategizing & creating content, sales/promotional pitch for potential clients. * Working with creative and other departments to articulate client requirements. * Coordination & follow-up with Clients. Interested candidates are requested to mail updated CV with below details directly on siddharth.bigone@gmail. com Total Experience - Industry worked for - Applying Post - Relevant Experience - Currently Working or not - Current/Last CTC - Expected CTC - Notice Period - Current Location - Ready to relocate - Preferred Location - Call 8851163841 Whatsapp 7859860869 Job Type: Full-time Salary: ₹600,000.00 to ₹800,000.00 /year"	1
"Blis is one of the world’s fastest growing location based mobile businesses in the industry. With appearances in the Sunday Times Tech Track 100 for the 4th year running, we are the global leader in advanced location data technology. Our tech stack was built from the ground up with principles of data accuracy and scale at its core. We are a truly innovative AdTech business building the best systems, platforms and teams to support our clients needs around the globe. Explosive growth during 2018 while working with the biggest digital brands in the world and an unprecedented opportunity in 2019 sees a requirement to build the team with several new positions being sought. With the backing of one of the best media specific Venture Capital groups, Blis are in great shape to continue being at the forefront of the mobile 1 revolution. We are a highly ambitious, young, dynamic and fun company to work for, established in 2004 the company has since expanded from its London HQ into 24 offices worldwide. We are looking for a Campaign Manager to join the Ad Operations team based from our Mumbai office. The role will involve the management of multiple campaigns from set up to completion, optimising where possible and troubleshooting issues where appropriate. There is an account management aspect to the role requiring the provision of reports for clients that leverage campaign insights, as well as liaising with clients to ensure their expectations are met. This role reports to our Ad Operations Team Lead helping them with the smooth running of a client patch. You will also be required to work with the sales team to assist with the planning of briefs. At month end you will be responsible for the reconciliation of billing figures from the Blis platform for invoicing purposes. Responsibilities: Manage the delivery of RTB campaigns using the Blis DSP. Ensure campaigns are set up and run as per relevant targeting laid out by the Sales person responsible. Monitoring campaign delivery, performance and margin to ensure all targets are met. Provide Sales/Clients with optimisations and recommendations by analysing across key variables. Carrying out post-campaign analysis to provide insights to share with Sales/Clients. Good organisational skills are required to be able to run multiple campaigns at one time, and to ensure campaign finances are managed correctly. At month end you will be responsible for the reconciliation of billing figures from the platform and populating templates ready for invoicing. Skills and Experience: 4-6 years of experience in campaign management Graduate from a reputable university. Excellent communication skills. Works well both within a team and individually. Organisational and time management skills to juggle multiple tasks. Ability to problem solve and analyse data sets. Good excel skills. Interest in ad technology and digital media. Please note the office hours for this role are 6.30am IST – 3pm IST (9am SGT – 5.30pm SGT)."	1
"Overview of job The Glitch is an agency of GroupM, the world’s largest media investment company and is a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Manager – Brand Strategy, to join us. In this role, you will be responsible for translating brands marketing objectives into strategies, designs, and plans. Our Group Head will give direction to the Brand Strategy team and help in developing rich content applicable across different digital media platforms. The ideal candidate will be self-motivated, resourceful and have impeccable design, content and leadership skills. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to the Group Head 3 best things about the job: Work with one of the leading entertainment brand in the industry. Create engaging and creative strategies to reach out to the audience. Opportunities to work closely with leadership to grow in the agency and decide growth strategies. In this role, your goals will be: In three months: Understand the entertainment category and brand objectives for the year. Managing designated clients’ social media 1 campaigns and official accounts independently Oversee the team of JMs and Managers to build quality control and digital knowhow In six months: Fully manage and be accountable for the planning, implementation, and delivery of all digital campaigns. Become a trusted advisor to the client by properly justifying recommendations, strong timeline management and delivering outcomes. Flexible and creative campaign ideas and problem-solving for designated clients and other existing clients In 12 months: Managing social part of new business pitches & strategic plans under the minimum supervision Challenge briefs and constantly evolve our strategies to ensure we hit client KPIs and constantly take campaigns to the next level. What your day job looks like at The Glitch: Create Strategy for international brands for their digital campaigns Lead Managers in setting brand strategies and develop appropriate digital media plans Delegate work effectively Supervise, counsel and guide managers and executives likewise Manage group dynamics between Managers and executives Check for accuracy, timeliness, and quality of content delivered by managers Initiate appropriate cross-functional meetings between Client Strategy team and Brand Strategy Team Attend and participate in Client meetings/pitches Adherence to tight deadlines while delivering flawless work Demonstrate creativity and can give links to previous work What you’ll need: A good sense of humour. Jokes sell content. A strong understanding of pop-culture and internet memes. The drive to push yourself to deliver the highest quality work that you can be proud of. Minimum a year's experience in Copywriting in digital media and 1 or any related field A Strong Portfolio Mass Communication/Journalism Graduate, Masters Degree/Diploma preferred Experience in managing a team Proficient in English & Hindi. More about The Glitch The Glitch is a digital-first creative agency headquartered in Mumbai, with offices in Delhi and Bangalore. We help brands impact culture and solve their business problems by marrying deep strategic insight with our core creative & content capabilities. Discover more about The Glitch at http://www.theglitch.in/ Follow @followtheglitch on Twitter Follow GroupM on LinkedIn - https://www.linkedin.com/company/796114/ About India Digital media 1 in India continues to grow at 30% in 2017, cementing India’s position as the second largest internet market with close to 450 million users. The Internet growth is driven by mobile data and connectivity, making it an exciting market for all integrated marketing services, fuelled by the collective market investment in data and technology. With a booming economy, both traditional and new age industries are witnessing a boost in consumption, making India a high potential 1 market. With renewed foreign investments across several industries, India is an exciting market for any 1 professional."	1
"Will have to chat with international clients Perform optimization on our system Daily follow-up with clients Creating weekly reports for advertiser's and publisher's spending Should be good in writing emails Should be punctual and work oriented Training will be provided for everything Job Type: Full-time Salary: ₹8,000.00 to ₹15,000.00 /month Education: Higher Secondary(12th Pass) (Preferred)"	1
"Overview of job – Mindshare is an agency of GroupM, world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a General Manager (Principal Partner) to join us. In this role, you will be responsible for the overall delivery on the Largest FMCG brand of India. You will need to have a good managerial skill sets, strategic bent of mind, excellent communication and presentation skills, digitally savvy, collaborative mindsets (internal and external), driving the innovation and new age solutions, grooming the team and make them future-ready. You will be the key custodian of building a rapport and relationship with the senior management team at the clients end. Someone who can understand client business, challenges and craft the strategic media solution to deliver the key business/ brand / media KPIs. You will need to understand the new age eco-system of data, digital and content and able to craft the newer disciplines seamlessly into the offering for the client. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to the Vice President – Client Leadership 3 best things about the job: You get to work on the biggest advertiser of the country Lead strategic thinking & integrated solutions across Personal Care category Ability to work under pressure and short turnaround time keeping you nimble and agile in this challenging work environment. (we see this as a positive learning experience) In this role, your goals will be: In three months: Establish leadership stance among key stakeholders both on client and agency side Translate the client’s needs into clear direction for Mindshare and GroupM resources working on the account Become completely familiar with the client’s organizational structure, planning process, marketing calendar and the needs of key stakeholders Understand the Mindshare way of working and are able to navigate through the verticals In six months: Fostered strong client relationships across the client portfolio for self and team and have a strong understanding of the client’s key business requirements To be recognized as their trusted advisor, execute “media first” innovations and deliver exceptional ROI for the client Lead the change in digital, data and content ecosystem. Identify opportunity and collaborate with internal team / potential partners to deliver the best possible solution Demonstrated the ability to guide and coach team, helping them improve their strategic thinking skills and capabilities as well as their digital, data and content knowledge In 12 months: Demonstrated the ability to develop and diversify clients and translate them into commercial opportunities Work in closely on innovative projects that help drive further growth Participate and lead in a winning new business pitch Build client satisfaction by soliciting critical feedback What your day job looks like at Mindshare: Provide strategic thinking, innovative communication planning and hard-core media fundamental knowledge to craft out innovative integrated brand strategies Acts as a client visionary by bringing a highly valued perspective to the client based on a deep understanding of their business, issues and opportunities. Should be able to lead strategic conversations on Media, communication planning that drives business outcomes Manage and motivate team to effectively deliver to client needs and goals Ensure timely team appraisals and clear development goals for team members; identify and follow through on appropriate training and career development for the team What you’ll bring: High integrity while maintaining positive, open relationships Show a depth of understanding of the industry, business, brands and consumers and has the ability to dial up his servicing skills with senior management stakeholders at Star beyond the media team, including business and marketing as well. Understanding business principles and good practice and perceives issues in both financial and commercial terms. Highly passionate, collaborative, outgoing, creative media leader and thinker Strong presentation skills Highly articulate, story-telling capability Stakeholder management Business acumen Acute inquisitiveness and understanding of an entrepreneur’s mindset Ability to understand mediums beyond ATL Minimum qualifications: Minimum 13 years+ total work experience in media business consultancy, market research/analytics or a strategic planning role, of which at least 3-4 years have been spent working on media/communications planning related business. FMCG experience (client / agency) will be a definitive added advantage Excellent communication/presentation/client management skills More about Mindshare We were born in Asia in 1997, a start up with a desire to change the media world. Now we are a global agency with more than 7,000 employees in 116 offices across 86 countries, operating as one team - #teammindshare. We believe that in today’s world, everything begins and ends in media. We aim to be our clients’ lead business partner, to grow their business, and drive profitability through adaptive and inventive marketing. We do this through speed, teamwork and provocation and by operating as a network of networks rather than a rigid hierarchy. We create new things and have fun doing it. Whenever and wherever you join us, you open a door to opportunities in any and of all aspects of media, technology and innovation. We will support you, recognize you and reward you, making Mindshare the place where you do the best work of your career. Mindshare APAC has won 500 awards in the last year alone, including “Agency Network of the Year 2017” by both the MMA SMARTIES™ and Campaign Asia for the fifth and third consecutive year, respectively. Mindshare is part of GroupM, the media investment management arm of WPP, the world’s leading communications services group. To learn more about Mindshare and our philosophy of Original Thinking, visit us at www.mindshareworld.com and follow us on Twitter @mindshare and facebook.com/mindshareapac and linkedin.com/company/mindshare. About India Digital media 1 in India continues to grow at 30% in 2017, cementing India’s position as the second largest internet market with close to 450 million users. The Internet growth is driven by mobile data and connectivity, making it an exciting market for all integrated marketing services, fueled by the collective market investment in data and technology. With a booming economy, both traditional and new age industries are witnessing a boost in consumption, making India a high potential 1 market. With renewed foreign investments across several industries, India is an exciting market for any 1 professional."	1
"We are a marketing & Sales agency, specializing in developing & running, commercial & community customer engagement programs . We offer a bespoke outsourcing solution to take our clients’ products, services or brands direct to their customers. Much of our work has been customer recruitment focused, but the services we offer range from: sales campaign Management, Events, Road Shows- Road trips, field marketing. JOB PROFILE: 1)Marketing/ 1 & Concept Branding 2)Customer Acquisition & Promotion: Communicate with target customers and manage customer relationships 3)Managing Business Finances & Operations 4)Human Resource Development & Human Resource Management. 5) Training and Developing team members to develop a high performance culture. 6) Enhancing leadership by using effective communication & coaching of team members. 7) Opportunity of business exposure to National / International Travel for training & Business Development. Book an appointment with Hr manager on 8875192952 Besides that, we do have: 1) Career Advancement 2) Travel Opportunities 3) Fun-filled environment Requirements: 1) Ability to work in a team 2) Willing to learn 3) Open to travel 4) Fluent English speakers Qualifications: 1) MBAs in HR, Marketing, Finance Operations Management 2) Any graduate or post-graduate interested in Management can apply 3) Experience Maximum0- 3 years Job Types: Full-time, Fresher Salary: ₹20,000.00 to ₹45,000.00 /month Location: Jaipur, Rajasthan (Preferred)"	1
"Minimum qualifications: BA/BS degree or equivalent practical experience. Ability to speak and write in English fluently and idiomatically. Preferred qualifications: Experience in working against an assigned quota. Demonstrated experience in managing and customizing experience to a customer base. Demonstrated ability to multitask and manage multiple projects at a time while paying strict attention to detail. Proactive, independent worker with the demonstrated capacity to lead, motivate and work well with others. Excellent written and verbal communication skills. About the job Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google 1 solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing business grow. Using your influencing and relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their 1 can reach thousands of users. As an Account Manager for Google Customer Solutions, you'll work towards strategic business goals and consult with a variety of existing large and medium sized business advertisers. You will focus on providing the optimal 1 solution for each client and thus enabling advertisers to expand their businesses with Google's latest 1 products and solutions. Your understanding of online media combined with your commercial know-how shape how new and existing businesses grow. Using your effective communication skills, you''ll be the face of Google to a portfolio of clients whose needs you listen to, and help define the strategy for how their products and services can reach thousands of users. When our millions of advertisers and publishers are happy, so are we! Our Google Customer Solutions (GCS) team of entrepreneurial, enthusiastic and client-focused members are the ""human face"" of Google, helping entrepreneurs both individually and broadly build their online presence and grow their businesses. We are dedicated to growing the unique needs of 1 companies. Our teams of strategists, analysts, advisers and support specialists collaborate closely to spot and analyze customer needs and trends. In collaboration, we create and implement business plans broadly for all types of businesses. Responsibilities Deliver against assigned quota consistently, while prioritizing and delivering an excellent customer experience to Google's advertisers. Implement creative ways to improve our customer relationships, tailor and share performance-enhancing suggestions, and promote other Google products. Communicate with customers proactively, via phone and email. Provide strategic advice and help our advertisers get the best ROI on their 1 investment by working closely in a consultative role with customers. Share and collaborate with Specialists, Engineers, and Product team members on new feature development through direct exposure to advertisers. At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."	1
"We are currently looking for a number of Lighting Artist who will be responsible for Lighting projects. RequirementsWe are constantly looking for the best talent in the world, enthusiastic people that come in everyday to be a part of some of the best work in the industry. Our team produces creative, visually stunning and technically challenging VFX and digital projects of the highest quality, and we are looking for candidates with a desire to be involved in the success of these projects. Qualifications Previous experience in Lighting and Rendering for 1, feature film or animation production. Experience using Maya and Arnold Houdini and Mantra is a Plus Solid understanding of a lighting production pipeline Good communication skills to enable you to work well in a team Ability to troubleshoot and solve problems independently Some more generalist VFX skills would be a benefit What can we offer? iCastx offers a positive, creative environment where the world’s leading animation and effects artists are encouraged and supported to develop and produce challenging, cutting-edge, award-winning work. We work as a collective, where excellence, expertise and expression are valued by all; where we collaborate with some of the world’s leading creative thinkers and produce work to which we are proud to put our name. If you want to be part of the Icastx story, please submit your application as an online submission via this website. If your candidature is suitable, you will be contacted shortly. If your application is not retained for this position, it will stay on file for future opportunities."	1
"Job Summary We are searching for a decisive, organized 1 Manager to oversee operations and direct staff members in our 1 staff as they develop unique and exciting campaigns. The 1 Manager will collaborate with clients and 1 staff to establish project objectives, delegate tasks to appropriate team members, direct research, analyze data, and evaluate projects to ensure they meet the expectations of the client, properly represent the brand, and achieve the desired results. They may also assist with the hiring and employee evaluation process. Responsibilities and Duties 1 Manager Responsibilities: Overseeing 1 department operations and staff members. Working with staff members, clients, or an ad agency to establish and meet projects goals and establish and enforce budgets and timelines. Developing 1 strategies to increase buyer interest in products or services. Monitoring project progress from planning to execution to ensure it remains focused and evaluate its effectiveness. Negotiating contracts specifications and terms with clients or other external parties. Initiating and directing research efforts. Qualifications and Skills 1 Manager Requirements: Bachelor’s degree in 1, marketing, or related field. 2+ years of experience in relevant field, management experience may be preferred. Understanding of design and marketing principles and techniques. Ability to develop strategies based on industry trends and developments. Exceptional organizational and multitasking skills, especially when working with multiple projects/teams. Excellent management, negotiation, listening, and verbal and written communication skills. Job Type: Full-time Experience: work: 1 year (Preferred) 1: 1 year (Preferred) Marketing: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred)"	1
"Overview of job The Glitch is an agency of GroupM, the world’s largest media investment company and is a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Senior Group Head – Brand Strategy, to join us. In this role, you will be responsible for translating brands marketing objectives into strategies, designs, and plans. Our Associate Creative Director will give direction to the Brand Strategy team and help in developing rich content applicable across different digital media platforms. The ideal candidate will be self-motivated, resourceful and have impeccable design, content and leadership skills. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to Associate Creative Director 3 best things about the job: Opportunity to creatively lead some of the best brands in the country Inclusive, collaborative & supportive work environment Endless learning with experienced professionals & young generation In this role, your goals will be: In three months: Understand the brand and category in depth Lead the digital and social mandates for brands - from everyday hygiene to big ticket campaigns In six months: Build a strong relationship with the client and be their trusted creative partner Build a formidable team that grows with you while delivering efficiently on their mandate Grow accounts that you are responsible for and independently lead new pitches and projects In 12 months: Be a creative leader in the organisation with cutting edge expertise in brand, category, content & technologies enabling marketing initiatives Proactively identify gaps within organisation and for brands and provide solutions for the same. What your day job looks like: Planning and executing creative strategies that answer to the marketing asks of brands Maintaining high level of creative output from daily hygiene to big campaigns Representing the team to the clients Managing internal teams and stakeholders across functions Bringing industry learnings to the table and help the organization evolve What you’ll bring: Exceptional written, verbal and visual communication skills Mass communications, Journalism or English Literature Graduate and proven proficiency in any relevant field 5 years of experience in digital media marketing 2 + years of experience in a leadership role in a creative agency is a must Strong leadership, project management and time management skills Strong business acumen, management, and problem solving skills Is a digital native – proficient in the use of social media for brands. About The Glitch The Glitch is India’s leading creative agency headquartered in Mumbai, with offices in Delhi & Bangalore. We help brands create a cultural impact and solve their business problems by marrying strategy with mind blowing creative’s Discover more about The Glitch at http://www.theglitch.in/ Follow @followtheglitch on Twitter Follow GroupM on LinkedIn - https://www.linkedin.com/company/796114/ About India Digital media 1 in India continues to grow at 30% in 2017, cementing India’s position as the second largest internet market with close to 450 million users. The Internet growth is driven by mobile data and connectivity, making it an exciting market for all integrated marketing services, fueled by the collective market investment in data and technology. With a booming economy, both traditional and new age industries are witnessing a boost in consumption, making India a high potential 1 market. With renewed foreign investments across several industries, India is an exciting market for any 1 professional. GroupM APAC is committed to fostering a culture of diversity and inclusion. Our people are our strength so we respect and nurture their individual talent and potential."	1
"Job Description: Responsible for revenue generation through selling advertisement space on B2B websites and magazines to overseas companies. The candidates will be communicating and convincing the marketing heads and c-level executives situated abroad through e-mails, calls, etc. to post their advertisements and utilize our marketing services. Other Responsibilities: Plan and organize a result-oriented sales strategy for the assigned magazines or website. Make telephone calls to conduct business in SEA and Europe and any other region, if required. Drive full sales cycle, from prospecting for new business to closing the deal. Identify client needs, problems and review their business requirements in order to sell tailored solutions. Build sales pipeline in accordance with the defined sales targets. Provide revenue forecasts to Sales Manager on a timely basis. Establish, develop and maintain business relationships with current and prospective customers. Ability to hunt for customer interests, competitive activities, and demand for new products and services. Keep up-to-date with product applications, technical services, market conditions, 1 and promotional trends. Identify collaboration opportunities, form and manage industry partnerships. Job Type: Full-time Salary: ₹10,000.00 to ₹25,000.00 /month Experience: customer service: 1 year (Required) Sales: 1 year (Required) work: 1 year (Required)"	1
"Job Summary Job Description: Responsible for revenue generation through selling advertisement space on B2B websites and magazines to overseas companies. The candidates will be communicating and convincing the marketing heads and c-level executives situated abroad through e-mails, calls, etc. to post their advertisements and utilize our marketing services. Other Responsibilities: Plan and organize a result-oriented sales strategy for the assigned magazines or website. Make telephone calls to conduct business in SEA and Europe and any other region, if required. Drive full sales cycle, from prospecting for new business to closing the deal. Identify client needs, problems and review their business requirements in order to sell tailored solutions. Build sales pipeline in accordance with the defined sales targets. Provide revenue forecasts to Sales Manager on a timely basis. Establish, develop and maintain business relationships with current and prospective customers. Ability to hunt for customer interests, competitive activities, and demand for new products and services. Keep up-to-date with product applications, technical services, market conditions, 1 and promotional trends. Identify collaboration opportunities, form and manage industry partnerships. International Process: Work Timings: 10 am - 7 pm, (Saturday half days and fixed weekly off on every Sunday.) Job Type: Full-time Salary: ₹10,000.00 to ₹25,000.00 /month Experience: Sales: 1 year (Required) Customer Service: 1 year (Required) work: 1 year (Required) Education: High school or equivalent (Required)"	1
"Greetings for the day !!! Hi everyone we are currently hiring for Sales and Marketing Executive. Duties and Responsibilities Handling Business leads generation websites like indiamart, google etc. Meeting new clients / prospects for new business opportunities. Understanding the clients requirements and developing artwork and quotation with the help of in-house graphic designers. Finalizing the artwork and quotation. Taking it for production and monitor until execution. Candidates having Experience in Signage and Graphic Industry are preferred. Basically we are looking out for a person who wants go longer with us and who can witness company growth being part of the company. Please Note : - Those who are looking job for short span of time then please excuse us. Best of luck !!! Job Type: Full-time Salary: ₹15,000.00 to ₹25,000.00 /month Experience: work: 2 years (Preferred) Marketing: 2 years (Preferred) Education: Bachelor's (Preferred) Language: English (Preferred)"	1
"Job Summary Should have good communication skills with 2-5 years experience in creating digital marketing campaigns, including SEO, SMM, SMO and social media 1. Responsibilities and Duties Web SEO, SMO, SMM, B2B & B2C, PPC Campaigns, Google Analytic, Affiliate Marketing, Manage Team & Execute online digital marketing strategy for brands Familiar with on-page/off-page SEO, SEM, SMM Know how to increase website traffic with right keywords & content Familiar with Google Analytic, Webmaster, SEO tools Email Etiquette, Blogging & Absence, Digital Marketing, Online Marketing,Manage FB, LinkedIn & Twitter Accounts Identify and implement innovative SEO strategies. Think creativity to produce new ideas and design concepts. Required Experience, Skills and Qualifications Experience in Web SEO, SMO, SMM, B2B & B2C & PPC Campaigns Job Type: Full-time Salary: ₹20,000.00 to ₹35,000.00 /month Experience: work: 2 years (Preferred) Education: Bachelor's (Preferred)"	1
"Job Description Job Title: Senior Business Specialist - Consumables About Company: Thermo Fisher Scientific Inc. is the world leader in serving science, with revenues of more than $20 billion and approximately 70,000 employees globally. Our Mission is to enable our customers to make the world healthier, cleaner and safer. We help our customers accelerate life sciences research, solve complex analytical challenges, improve patient diagnostics, deliver medicines to market and increase laboratory productivity. Through our premier brands – Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific and Unity Lab Services – we offer an unmatched combination of innovative technologies, purchasing convenience and comprehensive services. About Team: Laboratory Solutions India (LSI) unites deep scientific expertise, a collaborative culture and rich resources to deliver lab chemicals, equipment and consumables that our customers need to achieve their scientific goals – quickly, reliably and safely. Laboratory Chemicals provides over 100,000 catalog products ranging from solvents, reagents, catalysts, organic building blocks, screening libraries, analytical standards, bioreagents, precious metals, salts and solutions Laboratory Equipment category includes equipment, accessories, and services for sample preparation, storage and protection, and analysis. Laboratory Consumables category includes sample preparation and storage, liquid handling, and specialty plastics and services. Our smart lab solutions make it faster and easier for our customers to focus on what matters most – delivering answers and innovations that save and improve lives. Role & Responsibilities Key Duties and Responsibilities: (A) Sales: Preparation of Sales Forecasts for Mumbai Execution of Sales targets and plan for the territory area Implementation of Sales Plans for the territory/area and achieve the sales revenue target Adherence to the Quarterly Rolling Sales Plan as communicated by the reporting manager (B) Account Receivables / Collections: Achieving the collection targets for the territory/area Follow up on EMD, Security deposits Achievement of targets as per the Collection Plans every month (C) Credit Control Policies: Adherence and implementation of Credit Control Policies (D) No Claim Certificate (NCC): Obtain the No Claim Certificate from all the Distributors and Rep quarterly and ensure that the reconciliation is done half yearly (E) Submission of Reports: Submission of all prescribed reports (Daily Sales Report, Monthly and Quarterly MIS, etc) and updation of data on Lead Portal and Opportunity Funnel (G) Market Intelligence Report (MIR): Preparation of the Market Intelligence Report based on product performance, feedback on quality and submission to the reporting manager (H) Market Expansion / New Markets: Identification of new Key Accounts, Distributors/Channel partners and Direct trade opportunities. Awareness regarding competitor’s activities in the market and information in terms of pricing, schemes, systems/procedures etc Follow up with Marketing team for organizing exhibitions, live demos etc. as per business requirements in the territory/area (I) Distribution / Channel Management: Handle the responsibility for Distributor Management and Direct selling including the accounts reconciliation. Compliance to the Credit Control Policies of the Company. Maintenance of a professional rapport and no commitments/communication on business issues to be done verbally. All communication to have a written approval from the Commercial Leader Establishment of an effective rapport with the Accounts team. Updation of the Distributor/Key accounts/Dealer accounts on an ongoing basis and compliance to all accounting policies (J) Marketing and 1: Follow the marketing and 1 strategies proposed by Marketing Head / . Planning in advance the schemes, which suit the local market, region, market segment (K) Other Operational Responsibilities: Establishing a working rapport with the service counterparts and ensuring proper after sales service in your territory/area Adherence to the company norms with regards to expenses guidelines by the Company. Adherence to company norms with regards to financial commitments to the trade Education / Qualification: Postgraduate in science (Biotechnology / Biochemistry/ Microbiology) Biology / Chemistry background with MBA in Marketing Graduate in Life Sciences with MBA / MMA / PG Experience Requirements: Track record of achievement in Sales, Marketing and Business Development roles At least 2- 5 years in the Consumables/ Life Sciences Knowledge, Skills and Abilities required for this role: Knowledge: In-depth knowledge of the life sciences / analytical industry Knowledge of laboratory Consumable business would be a distinct advantage Skills: Strong communication skills Good analytical skills Abilities: Teamwork Independent, quick decision making ability Strong evidence of ability to implement and execute plans At Thermo Fisher Scientific, each one of our 70,000 extraordinary minds have a unique story to tell. Apply today http://jobs.thermofisher.com . Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status."	1
"Roles and Responsibilities: Execute 1 and marketing activities and campaigns to establish and maintain brand presence in the market Develop marketing and 1 collaterals with 1 agencies Conduct competitive strategic analysis and consumer insight development Measure and report performance of all marketing campaigns Research and determine product weaknesses and areas to be modified Monitor customer reactions Work with internal teams and external agencies Skills/Experience: 3-4 years of proven working experience in brand marketing Excellent understanding of the full marketing mix Strong analytical skills partnered with a creative mind Good communication skills Up-to-date with the latest trends and marketing best practices Needs to have exposure to media planning, Digital marketing planning etc Job Type: Full-time Experience: Brand Marketing: 3 years (Required) Education: Bachelor's (Required)"	1
"1. A person with up to 10 years of experience.2. Should have experience in Space Selling.3. Ability to get Clients for Launching of New Products thro our Vending Machines.4. Have the strong ability to convert the cold calls into prospects.5. Good communication skills, prepare good presentations on Power Point etc.6. Ability to sell the Branding Concept through Vending Machine concept to Clients / Customers and to convince them to pay for 1 space Charges as per the Companys Price List. 7. Ensure the Agreement is signed during confirmation of Orders as per Cos policy.8. Achieve monthly targets.9. Have the ability to maintain a good relation with all Clients / Customers.10. Ability to renegotiate the prices during renewal of contracts.11. Ability to collect Correct Market / Competitive information all the time.12. Sending Weekly , Monthly reports in time. 13. Should be a Responsible ,Hard working , Energetic and Honest person.(SELF STARTER )"	1
"Responsibilities: Own the ad tech stack of LOCO Implement & functionalise ad server, measurement tools & ad-product roadmap Integration/onboarding and analytics for Demand Partners. Strong negotiation & closures with demand partners. Collaborating with product, adops, engineering teams. Ensure end to end process to maximize indirect revenue Good understanding of online ad campaign metrics and analysis, including CPM, CPC, CPA, CPS 1 models. Knowledge and hands-on experience on platforms like PubMatic, Appnexus, Rubicon, Pulsepoint, Zedo, OpenX etc Knowledge of the latest trends associated with online marketing like Header bidding, PMP, RTB, Video, App and Native. Work with programmatic publisher account management. Work day-to-day to resolve Advertisers tech issues and requests. Ensure Demand partners receive the highest level of customer service and support. Yield management Monthly, Quarterly and Annual Review of Programmatic Demand Requirements: Minimum 6 years managing programmatic partnerships or working for a DSP, SSP, or Ad Exchange. Ad trafficking experience Strong working knowledge of DFP, Google Analytics, Excel, Knowledge of Photoshop, HTML, javascript, and CSS is preferred. Strong understanding of rich media and third-party ad servers (e.g. DCM/DFA, Sizmek,etc.) Strong understanding of network 1 systems such as DSPs, SSPs, ad exchanges, including but not limited to Pubmatic, Yieldbot, ADX, AdSense, and SpotXchange. Capable of high-level data analysis using Excel, Google Analytics, and earnings metrics Strong problem-solving and analytical skills Juggle multiple tasks, ability to prioritize responsibilities, and excellent time management Able to work independently Superior written and verbal communication skills; positive attitude, excellent interpersonal skills"	1
